	snapshot_link	name	owner	address	price_range	bed_range	amenities	contact	property_link
0	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Elevate, Chicago, IL	Greystar Real Estate Partners	930 W Altgeld St, Chicago, IL 60614	$2,095 - 14,435	Studio - 3 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Parking	(847) 440-3110                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
1	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	The Residences at NewCity, Chicago, IL	BEZTAK Properties	1457 N Halsted St, Chicago, IL 60642	$2,126 - 5,055	Studio - 2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(844) 295-8794                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
2	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	1407 On Michigan, Chicago, IL	NA	1407 S Michigan Ave, Chicago, IL 60605	$1,400 - 5,650	Studio - 3 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(844) 207-9781                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
3	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Vue53, Chicago, IL	PeakMade Real Estate	1324-1346 E 53rd St, Chicago, IL 60615	$1,330 - 1,880	Studio - 2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(847) 906-8218                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
4	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	The Pavilion, Chicago, IL	Brookfield Properties Multifamily LLC	5441 NE NEast River Rd, Chicago, IL 60656	$1,005 - 1,885	Studio - 4 Beds	Dog Friendly;Cat Friendly;Parking;Fitness Center	(866) 794-5357                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
5	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	The Kent, Chicago, IL	RMK Management Corporation	2623-2627 N Clark St, Chicago, IL 60614	$2,144 - 2,224	1 Bed	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(947) 252-6867                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
6	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Optima Signature, Chicago, IL	Optima Enterprises	220 E Illinois St, Chicago, IL 60611	$2,114 - 9,340	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Dishwasher;Parking	(844) 596-1422                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
7	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Milieu, Chicago, IL	Lincoln Property Company	205 S Peoria, Chicago, IL 60607	$2,060 - 4,480	Studio - 2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Parking	(312) 598-1505                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
8	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	One Chicago, Chicago, IL	Lincoln Property Company	14 W Superior St, Chicago, IL 60654	$2,284 - 11,220	Studio - 3 Beds	Dog Friendly;Cat Friendly;In Unit Washer & Dryer;Parking;Fitness Center	(312) 585-7552                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
9	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Chestnut Place, Chicago, IL	NA	8 W Chestnut St, Chicago, IL 60610	$2,034 - 3,139	1-2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;Parking;Fitness Center	(312) 646-4941                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
10	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	State &amp; Chestnut, Chicago, IL	NA	845 N State St, Chicago, IL 60610	$1,984 - 6,986	Studio - 2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Parking	(844) 490-6606                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
11	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Aston, Chicago, IL	Greystar Real Estate Partners	200 E Illinois St, Chicago, IL 60611	$2,105 - 9,625	1-3 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Parking	(844) 349-2090                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
12	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	369 Grand by Onni, Chicago, IL	NA	369 W Grand Ave, Chicago, IL 60654	$2,095 - 90,444	Studio - 4 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(224) 215-0020                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
13	https://web.archive.org/web/20220121035604/https://www.apartments.com/chicago-il/	Emme Chicago, Chicago, IL	Greystar Real Estate Partners	165 N Desplaines St, Chicago, IL 60661	$2,212 - 4,027	Studio - 2 Beds	Dog Friendly;Cat Friendly;Air Conditioning;In Unit Washer & Dryer;Dishwasher	(312) 964-3725                                                                                    	https://www.apartments.com/elevate-chicago-il/nzfe70p/
