,Link,Address,Beds,Rent
0,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,111 W Wacker Dr,Studio - 3 Br,"$1,995 - $7,800"
1,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,425 W Surf St,Studio - 1 Br,"$1,148 - $1,893"
2,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,445 E Illinois St,Studio - 2 Br,"$1,815 - $4,925"
3,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,5222-5238 S Drexel Ave,1-3 Br,"$1,230 - $1,355"
4,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,5550 S DORCHESTER Ave,Studio - 2 Br,"$1,022 - $2,500"
5,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,900 S Clark St,Studio - 3 Br,"$1,418 - $3,320"
6,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,2727 N Pine Grove Ave,Studio - 1 Br,"$1,082 - $1,552"
7,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,860 N Dewitt Pl,Studio - 2 Br,"$1,514 - $3,850"
8,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,1164-1212 W Madison St,Studio - 2 Br,"$1,734 - $3,295"
9,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,555 W Madison St,Studio - 2 Br,"$1,365 - $4,195"
10,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,180 N Jefferson St,Studio - 3 Br,"$1,671 - $5,353"
11,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,161 W Kinzie St,Studio - 2 Br,"$1,570 - $6,337"
12,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,5307 S Hyde Park Blvd,Studio - 3 Br,"$985 - $2,600"
13,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,400 N McClurg Ct,Studio - 2 Br,"$1,562 - $2,961"
14,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,1936 N Clark St,Studio - 2 Br,"$925 - $2,180"
15,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,6700 S Oglesby Ave,Studio - 2 Br,"$774 - $1,821"
16,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,747 N Wabash Ave,Studio - 2 Br,"$1,540 - $7,260"
17,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,651 S Wells St,1-3 Br,"$1,618 - $2,687"
18,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,4827 N Sheridan Rd,Studio - 3 Br,"$825 - $1,450"
19,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,7000 S South Shore Dr,Studio - 4 Br,"$610 - $2,501"
20,https://web.archive.org/web/20150317192959/https://www.apartments.com/chicago-il/2/,215 W Washington St,Studio - 3 Br,"$1,645 - $4,315"
