,Address,Price,Beds,Contact
0,,"$1,875 - 4,085",Studio - 2 Bed,2018022409
1,,"$2,035 - 5,520",Studio - 3 Bed,
2,,"$1,690 - 4,425",Studio - 3 Bed,
3,,"$1,750 - 5,500",Studio - 3 Bed,
4,,"$1,598 - 4,243",Studio - 2 Bed,
5,,"$1,890 - 9,367",Studio - 3 Bed,
6,,"$1,435 - 5,870",1-3 Bed,
7,,"$1,320 - 2,715",Studio - 2 Bed,
8,,"$1,302 - 6,415",Studio - 2 Bed,
9,"165 N Desplaines St, Chicago, IL","$1,885 - 5,080",Studio - 3 Bed,
10,"215 W Lake St, Chicago, IL","$1,875 - 4,085",Studio - 2 Bed,312-964-3725
11,"420 E Ohio St, Chicago, IL","$2,035 - 5,520",Studio - 3 Bed,224-220-3563
12,"500 N Milwaukee Ave, Chicago, IL","$1,690 - 4,425",Studio - 3 Bed,888-380-0393
13,"601 W Jackson Blvd, Chicago, IL","$1,750 - 5,500",Studio - 3 Bed,312-964-3768
14,"200 E Illinois St, Chicago, IL","$1,598 - 4,243",Studio - 2 Bed,844-443-8919
15,"5140 S Hyde Park Blvd, Chicago, IL","$1,890 - 9,367",Studio - 3 Bed,773-273-6395
16,"4334 N Hazel St, Chicago, IL","$1,435 - 5,870",1-3 Bed,773-432-4830
17,"1350 N Lake Shore Dr, Chicago, IL","$1,320 - 2,715",Studio - 2 Bed,888-769-6192
18,"730 W Couch Pl, Chicago, IL","$1,302 - 6,415",Studio - 2 Bed,844-740-9960
19,"167 W Erie St, Chicago, IL","$1,885 - 5,080",Studio - 3 Bed,844-294-8524
20,"1333 S Wabash Ave, Chicago, IL","$1,793 - 5,916",Studio - 3 Bed,844-249-5467
21,"165 W Superior, Chicago, IL","$1,959 - 8,092",1-3 Bed,877-707-2965
22,"343 W Wolf Point Plz, Chicago, IL","$1,705 - 12,913",Studio - 3 Bed,844-214-0691
23,,"$1,773 - 19,604",Studio - 3 Bed,844-811-0188
24,"225 N Columbus Dr, Chicago, IL","$1,499 - 9,345",Studio - 3 Bed,844-598-2598
25,"445 E Ohio St, Chicago, IL","$1,717 - 4,383",Studio - 2 Bed,866-933-3491
26,"555 W Kinzie St, Chicago, IL","$1,501 - 2,685",Studio - 2 Bed,877-395-7096
27,"345 E Wacker Dr, Chicago, IL","$1,468 - 6,126",Studio - 3 Bed,312-288-8972
28,"175 N Harbor Dr, Chicago, IL","$1,537 - 3,858",Studio - 3 Bed,773-904-9571
29,"545 N McClurg Ct, Chicago, IL","$1,564 - 4,472",Studio - 3 Bed,888-767-6014
30,,"$1,816 - 5,295",Studio - 3 Bed,844-382-0901
31,"2933 N Sheridan Rd, Chicago, IL","$2,030 - 6,975",Studio - 3 Bed,855-401-6653
32,"833 W Buena Ave, Chicago, IL","$1,760 - 2,565",1-3 Bed,888-463-3217
33,"411 W Fullerton Pky, Chicago, IL","$1,285 - 1,815",1-3 Bed,844-812-0763
