,Address,Price,Beds,Contact
0,5140 S Hyde Park Blvd Chicago  6,"$1,398 - $5,781",1-3 Br,773-432-4830
1,805 N LaSalle Dr Chicago  6,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
2,400 N McClurg Ct Chicago  6,"$1,845 - $2,926",Studio - 2 Br,844-482-6861
3,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
4,200 E Chestnut St Chicago  6,"$1,188 - $7,177",Studio - 2 Br,708-315-6519
5,555 W Madison St Chicago  6,"$1,286 - $4,000",Studio - 2 Br,888-692-0211
6,161 W Kinzie St Chicago  6,"$1,840 - $6,337",Studio - 2 Br,844-892-1659
7,200 E Illinois St Chicago  6,"$1,924 - $12,878",Studio - 4 Br,773-273-6395
8,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
9,1350 N Lake Shore Dr Chicago  6,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
10,71 W Hubbard St Chicago  6,"$1,787 - $6,495",Studio - 3 Br,312-219-9513
11,1130 S Michigan Ave Chicago  6,"$1,329 - $3,273",Studio - 2 Br,866-610-8317
12,910 W Huron St Chicago  6,"$1,950 - $3,410",Studio - 4 Br,844-741-2982
13,850 S Clark St Chicago  6,"$1,765 - $3,584",Studio - 2 Br,312-462-1938
14,37 W Van Buren St Chicago  6,"$1,899 - $1,999",Studio - 4 Br,844-250-5735
15,1 W Superior St Chicago  6,"$1,636 - $4,673",Studio - 2 Br,312-219-9516
16,840 W Blackhawk St Chicago  6,"$1,687 - $4,050",Studio - 2 Br,866-958-8596
17,11 S Green St Chicago  6,"$1,675 - $3,335",Studio - 2 Br,844-417-3242
18,500 N Lake Shore Dr Chicago  6,"$2,235 - $3,825",Studio - 2 Br,312-548-6742
19,345 E Wacker Dr Chicago  6,"$1,633 - $4,688",Studio - 3 Br,773-904-9571
20,60638 About Us Chicago Ap,,,
