	snapshot_link	name	owner	address	price_range	bed_range	amenities	contact	property_link
0	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	The Tides	Magellan - The Tides at Lakeshore East	360 E South Water St	$1,590 - $3,953	Studio - 2 Br	Dogs;Cats;AC;Dishwasher;Parking	312-288-8069                	http://www.apartments.com/the-tides-chicago-il/x3mphjq/
1	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	AMLI River North	AMLI River North	71 W Hubbard St	$1,829 - $6,947	Studio - 3 Br	Dogs;Cats;Parking	312-219-9513                	http://www.apartments.com/amli-river-north-chicago-il/1pc7xx7/
2	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Coast	Magellan Development - Coast at Lakeshore East	345 E Wacker Dr	$1,568 - $4,530	Studio - 3 Br	Dogs;Cats;AC;Washer/Dryer;Dishwasher	773-904-9571                	http://www.apartments.com/coast-chicago-il/es8ebnn/
3	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Regents Park	MAC - Regents Park Apartments	5020-5050 S Lake Shore Dr	$1,113 - $3,274	Studio - 3 Br	Dogs;Cats	866-611-2494                	http://www.apartments.com/regents-park-chicago-il/5sl3n3q/
4	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	The Shoreham	Magellan - Shoreham at Lakeshore East	400 E South Water St	$1,588 - $3,802	Studio - 2 Br	Dogs;Cats;AC;Washer/Dryer;Dishwasher	866-599-7868                	http://www.apartments.com/the-shoreham-chicago-il/gn61yxz/
5	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Lake Meadows 2429	DK Living - Lake Meadows 2429	500 E 33rd St	$725 - $1,866	Studio - 3 Br		312-985-0261                	http://www.apartments.com/lake-meadows-2429-chicago-il/0xhjzp2/
6	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Aqua Apartments	Magellan - Aqua at Lakeshore East	225 N Columbus Dr	$1,612 - $4,605	Studio - 2 Br	Dogs;Cats;AC;Washer/Dryer;Dishwasher	866-933-3491                	http://www.apartments.com/aqua-apartments-chicago-il/mjb1ryl/
7	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	1130 SOUTH MICHIGAN	DK Living - 1130 South Michigan Avenue	1130 S Michigan Ave	$1,190 - $3,896	Studio - 2 Br	Dogs;Cats;AC;Fitness Center	866-610-8317                	http://www.apartments.com/1130-south-michigan-chicago-il/y9fmn4v/
8	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Optima Chicago Center	Greystar - Optima Chicago Center	200 E Illinois St	$2,226 - $9,700	Studio - 4 Br	Dogs	773-273-6395                	http://www.apartments.com/optima-chicago-center-chicago-il/rpt02l0/
9	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	1350-60 LAKE SHORE DRIVE	DK Living - 1350-60 Lake Shore Drive	1350 N Lake Shore Dr	$1,191 - $3,032	Studio - 2 Br		312-462-0403                	http://www.apartments.com/1350-60-lake-shore-drive-chicago-il/l583l3f/
10	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	THE CHICAGOAN	DK Living - The Chicagoan	750 N Rush St	$1,794 - $6,712	1-3 Br	Cats	773-675-1163                	http://www.apartments.com/the-chicagoan-chicago-il/j8pqc34/
11	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	850 Lake Shore Drive	850 Lake Shore Drive	850 N Lake Shore Dr	$1,990 - $12,000	Studio - 3 Br	Dogs;Cats	312-462-1903                	http://www.apartments.com/850-lake-shore-drive-chicago-il/9m1st54/
12	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Jones Chicago	Greystar - Jones Chicago	220 W Illinois St	$1,955 - $3,940	Studio - 2 Br		773-492-6656                	http://www.apartments.com/jones-chicago-chicago-il/86vqmm0/
13	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Woodlawn Terrace	MAC - Woodlawn Terrace	4726-4740 S Woodlawn Ave	$763 - $1,511	Studio - 2 Br	Cats	855-254-1372                	http://www.apartments.com/woodlawn-terrace-chicago-il/lsggedd/
14	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	The Lofts at River East	Group Fox - The Lofts at River East	445 E Illinois St	$1,815 - $4,925	Studio - 3 Br	Dogs;Cats;AC;Washer/Dryer;Dishwasher	844-274-9788                	http://www.apartments.com/the-lofts-at-river-east-chicago-il/6vz03br/
15	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Somerset Place Apartments	Zidan - Somerset Place	5009 N Sheridan Rd	$1,200 - $2,400	Studio - 2 Br	Dogs;Cats	773-649-5501                	http://www.apartments.com/somerset-place-apartments-chicago-il/f14qyst/
16	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Eight O Five	Smithfield Properties - Eight O Five	805 N LaSalle St	$1,475 - $4,800	Studio - 2 Br	Dogs;Cats;AC;Washer/Dryer;Parking	872-206-3038                	http://www.apartments.com/eight-o-five-chicago-il/lf7cr1e/
17	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Windermere House	MAC - Windermere House	1634-1660 E 56th St	$1,005 - $2,870	Studio - 3 Br	AC;Dishwasher;Fitness Center	844-406-5855                	http://www.apartments.com/windermere-house-chicago-il/6fnejfv/
18	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Jeff Jack Apartments	Greystar - JeffJack Apartments	601 W Jackson Blvd	$1,452 - $4,413	Studio - 2 Br	Dogs;Cats;AC;Washer/Dryer;Dishwasher	844-443-8919                	http://www.apartments.com/jeff-jack-apartments-chicago-il/pxts78s/
19	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	OneEleven	Bozzuto - OneEleven	111 W Wacker Dr	$1,995 - $6,695	Studio - 3 Br	Dogs;Cats;Parking	708-546-4173                	http://www.apartments.com/oneeleven-chicago-il/yxyyk0v/
20	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	Hyde Park Tower Apartments	AIMCO - Hyde Park Tower	5140 S Hyde Park Blvd	$1,258 - $5,151	1-3 Br	Dogs;Cats;Parking	773-432-4830                	http://www.apartments.com/hyde-park-tower-apartments-chicago-il/5qrev9p/
21	https://web.archive.org/web/20150217144133/https://www.apartments.com/chicago-il/	AMLI Lofts	AMLI- AMLI Lofts	850 S Clark St	$1,696 - $3,190	1-2 Br	Dogs;Cats;Parking	312-462-1938                	http://www.apartments.com/amli-lofts-chicago-il/xwre5rp/
