,Link,Address,Beds,Rent
0,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,1350 N Lake Shore Dr,Studio - 2 Br,"$1,272 - $2,994"
1,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,1164-1212 W Madison St,Studio - 2 Br,"$1,875 - $3,250"
2,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,1 W Superior St,Studio - 2 Br,"$1,636 - $4,673"
3,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,37 W Van Buren St,Studio - 4 Br,"$2,039"
4,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,910 W Huron St,Studio - 4 Br,"$1,925 - $3,410"
5,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,707 N Wells St,1-3 Br,"$2,740 - $5,621"
6,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,730 W Couch Pl,Studio - 3 Br,"$1,750 - $5,250"
7,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,1642-1660 E 56th St,Studio - 3 Br,"$1,105 - $2,530"
8,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,1225 N Wells St,Studio - 3 Br,"$1,645 - $4,147"
9,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,365 N Halsted St,Studio - 3 Br,"$1,687 - $6,683"
10,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,625 W Division St,Studio - 2 Br,"$1,775 - $3,700"
11,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,343 W Wolf Point Plz,Studio - 3 Br,"$1,741 - $10,617"
12,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,14 W Elm St,Studio,"$1,225"
13,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,355 E Ohio St,Studio - 3 Br,"$1,883 - $7,000"
14,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,180 N Jefferson St,Studio - 3 Br,"$1,600 - $4,120"
15,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,448 E Ontario St,Studio - 2 Br,"$1,450 - $4,015"
16,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,188 W Randolph St,Studio - 2 Br,"$1,500 - $5,620"
17,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,111 W Wacker Dr,Studio - 3 Br,"$1,697 - $9,033"
18,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,150 W Roosevelt Rd,1-2 Br,"$1,935 - $3,534"
19,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,73 E Lake St,Studio - 2 Br,"$2,130 - $3,585"
20,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,215 E Chestnut St,1-2 Br,"$1,625 - $2,980"
21,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,420 E Ohio St,Studio - 3 Br,"$1,585 - $4,065"
22,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,922 W Washington Blvd,1 Br,Call for Rent
23,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,900 S Clark St,1-3 Br,"$1,711 - $3,351"
24,https://web.archive.org/web/20160301213254/https://www.apartments.com/chicago-il/2/,2555 N Clark St,Studio - 2 Br,"$1,493 - $2,228"
25,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,545 N McClurg Ct,Studio - 3 Br,"$1,766 - $8,805"
26,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,25 W Randolph St,Studio - 3 Br,"$1,915 - $7,987"
27,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,1350 N Lake Shore Dr,Studio - 2 Br,"$1,272 - $3,146"
28,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,1130 S Michigan Ave,Studio - 2 Br,"$1,506 - $3,608"
29,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,1001 S State St,Studio - 3 Br,"$1,610 - $5,735"
30,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,1164-1212 W Madison St,Studio - 2 Br,"$1,875 - $3,250"
31,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,910 W Huron St,Studio - 4 Br,"$2,075 - $2,960"
32,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,161 W Kinzie St,Studio - 2 Br,"$1,950 - $6,337"
33,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,400 N McClurg Ct,Studio - 2 Br,"$1,891 - $2,578"
34,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,5020-5050 S LAKE SHORE Dr,Studio - 3 Br,"$1,320 - $2,670"
35,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,5454 S Shore Dr,1-3 Br,"$1,655 - $3,775"
36,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,4726-4740 S Woodlawn Ave,Studio - 2 Br,"$805 - $1,320"
37,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,51st & Lake Park Ave,1-3 Br,"$1,948 - $4,655"
38,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,5527-5537 S Everett Ave,Studio - 2 Br,"$995 - $1,850"
39,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,5320-5326.5 S Drexel Ave,2-3 Br,"$1,430 - $1,970"
40,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,833 W Buena Ave,1-3 Br,"$1,155 - $1,890"
41,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,37 W Van Buren St,Studio - 4 Br,"$924 - $2,145"
42,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,401-465 E Illinois St,Studio - 2 Br,"$1,840 - $5,035"
43,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,4448 S State St,1-4 Br,Call for Rent
44,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,3402-3453 N Elaine Pl,1-3 Br,"$1,472 - $3,488"
45,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,11 S Green St,Studio - 2 Br,"$1,584 - $3,425"
46,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,340 E North Water St,Studio - 3 Br,"$2,079 - $11,025"
47,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,365 N Halsted St,Studio - 3 Br,"$1,505 - $6,187"
48,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,1225 N Wells St,Studio - 3 Br,"$2,124 - $7,303"
49,https://web.archive.org/web/20160508090938/https://www.apartments.com/chicago-il/2/,765 W Adams St,Studio - 3 Br,"$1,791 - $6,684"
50,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,500 N Milwaukee Ave,Studio - 3 Br,"$1,580 - $5,500"
51,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,1 W Superior St,Studio - 2 Br,"$1,683 - $5,148"
52,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,625 W Division St,Studio - 2 Br,"$1,925 - $3,625"
53,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,707 N Wells St,1-3 Br,"$2,707 - $5,796"
54,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,555 W Kinzie St,Studio - 3 Br,"$1,629 - $5,735"
55,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,343 W Wolf Point Plz,Studio - 3 Br,"$1,908 - $10,900"
56,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,345 E Wacker Dr,Studio - 3 Br,"$1,723 - $4,901"
57,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,400 E South Water St,Studio - 2 Br,"$1,691 - $4,110"
58,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,360 E South Water St,Studio - 2 Br,"$1,617 - $5,248"
59,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,225 N Columbus Dr,Studio - 2 Br,"$2,073 - $5,540"
60,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,730 W Couch Pl,Studio - 3 Br,"$1,750 - $5,150"
61,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,123 N Des Plaines St,Studio - 3 Br,"$1,983 - $5,366"
62,https://web.archive.org/web/20160613134722/https://www.apartments.com/chicago-il/2/,500 N Lake Shore Dr,Studio - 2 Br,"$1,875 - $4,590"
