nodes,Labels,xpaths
Apartments for Rent in Chicago IL | Apartments.com,NE,/html/head/title
"bazadebezolkohpepadr=""560701588""",NE,/html/head/script[5]
Menu,NE,/html/body/div[1]/header/nav/div[1]/button/span
Renter Tools,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/a
Favorites,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[1]/a
Saved Searches,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[2]/a
Rental Calculator,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[1]/ul/li[3]/a
Rental Manager Tools,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[2]/a
Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/a
Arlington Heights Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[1]/a
Aurora Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[2]/a
Chicago Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[3]/a
Downers Grove Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[4]/a
Evanston Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[5]/a
Forest Park Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[6]/a
Naperville Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[7]/a
Oak Park Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[8]/a
Palatine Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[9]/a
Schaumburg Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[10]/a
Skokie Apartments For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[3]/ul/li[11]/a
Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/a
Chicago Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[1]/a
Cook County Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[2]/a
DuPage County Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[3]/a
Evanston Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[4]/a
Far Northwest Suburban Cook Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[5]/a
Gary Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[6]/a
Hammond Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[7]/a
Joliet Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[8]/a
Kane County Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[9]/a
Lake County Homes For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[4]/ul/li[10]/a
Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/a
Chicago Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[1]/a
Elk Grove Village Condos For Rent,NE,/html/body/div[1]/header/nav/div[1]/div/div/div/ul/li[5]/ul/li[2]/a
